,clean_tweet_final,label
17016,this should have been enough 2 just say no a|,1
2796,"""the education of public servants is a critical pa of the path forward..."" so true.",1
3356,check out this post! confession: i'm,1
14506,"lisa likes cuckold write now! ai, aa",1
826,".@user is it possible for you to speak in any topic without bringing race into it, you bigot? a|",1
12894,amateur spanking vids against women in the workplace,1
20222,"in the case of the commonwealth of the internet vs the evidence proved him guilty of , , and",1
8352,! tears,1
13584,"omg, these trump suppoers are deplorable!",1
15469,the revolution occurredajust not how marx expected it to. a|,1
27212,"sad how people feel they have to treat others like scum just because of their religion, race, sexuality, ect.",1
11693,"is ? please stop this ""offended culture"" madness!",1
24623,go take your anti meds,1
16178,when you don't want to read dd 1/2,1
11320,the white flight of derek black,1
9976,you might be a libtard if...,1
3288,why is ignored,1
3864,trumps wall is not about . the coal fired electrical producers need to dispose of fly ash stockpiles.,1
30057,nude teen play for women in spo,1
1669,lying and his disingenuous excuses for remarks about michelle &amp;,1
30350,woman in cou on racism charge,1
7109,i'm not a but is the,1
16705,yup. i concur. as do nearly 3 million voters.,1
1409,"ultimately, a from early that i wish i didn't have to tell. i also wish it didn't do as well as it dida|",1
1709,hope to see you at the show,1
4054,nicola sturgeon sends her christmas message surrounded by white children. no brown kids for nationalist nicola.,1
2087,for hate crimes watch the in never seen so much hate against the poor like in thisdod>>d(c),1
1411,shot inside a pussy office woman,1
11271,"y'all, is global. we just may have to lose before folks understand.",1
9602,dear would you please ask these shameless givea|,1
18493,are a| &amp; feel like the are stomping on you? listen,1
19658,"ppl wait for 10 hrs airpo, miss connecting flights, put them on flights 24 hrs later, aa|",1
4914,"it was an error on my pa i agree. she was an exceptional performer, i was thrown off by an something inconsequena|",1
5053,you can go ahead &amp; change your profile pic. hepburn was an ambassador to unicef &amp; your ignorance would havea|,1
29048,"spread the word &amp; join millions for national day of healing jan. 17, 2017",1
13882,don't think it's awarded for or being being a self centred,1
30009,"oh yes! and this rude, nasty behavior brought out into main stream!",1
19732,homicides rose in most big cities this year - the wall street journal,1
12825,how did women fair in 2016?,1
17511,kicking off about acting slutty on do it every time and no one bats a lid. against men! ;),1
4262,says should with a -,1
31930,why is ignored,1
17844,neoliberalism prioritized money and oil over pretty much everything else. a| a|a|,1
28391,racist attack on three muslim women in city centre... for more info:,1
7824,you might be a libtard if...,1
13468,"so sick of all the pre-programmed rhetoric! enough, already!! how about unity, patriotism and love for fea|",1
28801,i live in nyc and don't see a lot of ove racism. i was disappointed to see how much there is on twitter. must never be tolerated!,1
22064,he's an unamerican .,1
6951,factophobia ale with people in 2017 who use following words:,1
7227,"here's how to combat violent extremism in 2017. ""the white nationalist who came to dinner""",1
156,"as the smaller hands show, barry probably lied about being why his game sucked more than his",1
20021,"you have no balls, lumpy. my girl was spot on. lumpy tony says i am a . prove it lumpy. bwahahahahaha",1
16522,why are white people when the rest of us are,1
30761,stop,1
1002,the latest the volatile daily! thanks to,1
22632,"- keep going stupids, keep commenting - already a! 30,- donations for sucksa|",1
24150,joe biden: 'i want to thank' trump for unmasking america's,1
30488,trump ny co-chair makes racist remarks about michelle obama,1
11595,"is restricted duty like a straght jacket and padded room? if not, we should look into that.#blacklivesmattera|",1
6353,don't let the skate on his true record of !,1
28530,is this the kind of tweet you want a company rep sending out?,1
30520,aren't protesting because a won-they do so because trump has fuhered &amp;a|,1
3663,"fo woh, texas, police chief: officer acted 'rude' but not racist in viral video",1
21592,this's insane acts by they will trample national flag of other nation. it's clearly .,1
8993,excellent! rambling about: the alt right (@user d,1
16933,you might be a libtard if...,1
19203,spos illustrated girls naked sex videos,1
12745,nothing. that would be .,1
3717,jeff sessions omits decades of records for his ag confirmation hearing you can't hide,1
22351,your copy of hot new swiftly sharpens the fang for just,1
26252,"""tackling systemic racism and our biases through empathy"" read:",1
313,7 horribly ads from that made us cringe,1
3506,speaking of in and ddd cc,1
25616,are you &amp; feel like the are a|on you? listen,1
746,used and to win the white house presses attack on khan family and g.o.p. leaders,1
5736,so deep need2know. if clintons r eating brown bread drinkdark milka|,1
25384,because you're a racist?,1
14064,seems its escaped your attention that bashing whites isn't winning you any elections - over 1200 dem seats lost 08-a|,1
27505,24hrs passed &amp; i'm still too angry about this d(c) to coherently talk about it.,1
22657,calls for to step down but he won't because he knows that he can spew with no consequences! d,1
6006,why is it forbidden to write '2 blacks' on a restaurant bill but ok to wear a t shi saying 'kill all whites'?,1
10223,will send you to the inauguration~ join today!!,1
4708,need to speak up against the that's rife within the community! it's unacceptablea|,1
29080,fo woh pastors say officer's acts in viral video arrests were racist,1
30022,"why? please explain to us why we're, ""bad.""",1
30080,: pupil suing school district after alleged classroom incident,1
24807,the latest the african american turmoil! thanks to,1
16001,vandalised in in condemns act,1
23644,the latest the blicqeraC/ daily! thanks to,1
27541,are you &amp; feel like the are stomping a| you? listen,1
21442,(advanced value chain videos at ),1
26697,nothing humorous about your jibes u trump official paladino under fire over crude obama remarks -,1
2635,is the dictionary word for anti-black,1
15885,"victim of adam saleh refers to black people as ""abeed"" (slaves) in one of his sketches.",1
916,aren't protesting because a won-they do so because trump has fuhered &amp;a|,1
26436,you might be a libtard if...,1
30444,billionaire chair of trump says he hopes obama dies and michelle goes back to being a male ape in africa.,1
24004,thought factory: left-right polarisation! ~14,1
18206,rise up today is out! stories of police brutality from,1
5685,trumpas odd nye tweet to aenemiesa 'the odd man out' self serving,1
13185,how can sainsburys have no red stripe?? ddd,1
1768,"abe government is mere puppet of ultra rightist group ""aeY=ae!a 1/4 edeg(japan conference)""",1
10833,.@user .@user .@user silence is approval. we always knew what pigs youa|,1
82,how the uses &amp; insecurity to lure men into,1
21485,so proud to have a mayor like who isnt afraid to speak the truth..and yes he is completely righta|,1
735,standing up to racism and hate by americad not curse out congress and all haters who are deplorable,1
4107,"you may have good intentions in saying ""i don't see color,"" but you're missing the point.",1
8073,"seriously lede. come on, you can do better.",1
3491,prison officers goaded inmates until they needed to be restrained as pa of a game,1
6379,thought factory: left-right polarisation! +8,1
4139,will the alt-right promote a new kind of racist genetics?,1
19292,you would believe the accusations regarding your father,1
30496,"judge lets wlk aftr the of a special needs blk teen. ddnt wnt tht on his record, would nevr work n reverse",1
11432,apologists be like ... doubletree by hilton londona|,1
8183,why is ignored,1
8757,saying i am not racist is not a| protest and denounce,1
733,"no, he was definitely a mexican.",1
5386,have the balls to it and expose me as a racist.,1
2522,are you &amp; a| like the are stomping on you? listen,1
26368,well said!,1
6048,to all those from ain't a in da blm,1
31606,i'm not i just hate those muzzies !,1
20423,you either call me eyetalian joke on my nationality or you're not,1
